use UserDb
go

insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Ellis', 'McGilbon', '624-218-5768', 'Denise', 1, 'Yotz', '6/27/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Callida', 'Manshaw', '644-219-1774', 'Flory', 0, 'Innotype', '10/22/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Arny', 'Mitchelmore', '183-489-6679', 'Jeanie', 0, 'Skiba', '10/11/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Adria', 'Cootes', '135-489-6583', 'Richmound', 0, 'Janyx', '1/17/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Drud', 'Fillery', '581-260-7542', 'Faustine', 0, 'Realblab', '11/6/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Sue', 'Barti', '934-266-3180', 'Kaye', 0, 'InnoZ', '3/24/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Philly', 'Paine', '260-383-7913', 'Aurea', 0, 'Digitube', '6/8/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Benji', 'Trelevan', '683-870-0972', 'Kath', 1, 'Myworks', '9/17/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Ram', 'Klulicek', '283-398-1364', 'Elston', 1, 'Dabfeed', '7/28/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Sergio', 'Lerohan', '539-837-1690', 'Roosevelt', 1, 'Photolist', '8/21/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Kirk', 'Inde', '564-812-4516', 'Jeana', 1, 'Zoonder', '1/17/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Germain', 'Brobeck', '820-637-6162', 'Al', 1, 'Divape', '3/6/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Franni', 'Wherton', '591-895-0091', 'Lanette', 0, 'Eimbee', '6/25/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Murdoch', 'Rubert', '658-267-2019', 'Ross', 0, 'Flashspan', '12/17/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Clevie', 'Rispen', '905-626-4768', 'Roberto', 0, 'Wordify', '1/30/2018');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Neville', 'Weafer', '991-504-9407', 'Drucie', 0, 'Mycat', '5/16/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Torrie', 'Harnett', '473-280-6077', 'Menard', 1, 'Roombo', '5/31/2017');
insert into Users (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Neddy', 'Jaycocks', '326-373-0485', 'Ferdinand', 1, 'Pixoboo', '1/10/2018');
