insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Ellis', 'McGilbon', '624-218-5768', 'Denise', true, 'Yotz', '6/27/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Callida', 'Manshaw', '644-219-1774', 'Flory', false, 'Innotype', '10/22/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Arny', 'Mitchelmore', '183-489-6679', 'Jeanie', false, 'Skiba', '10/11/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Adria', 'Cootes', '135-489-6583', 'Richmound', false, 'Janyx', '1/17/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Drud', 'Fillery', '581-260-7542', 'Faustine', false, 'Realblab', '11/6/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Sue', 'Barti', '934-266-3180', 'Kaye', false, 'InnoZ', '3/24/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Philly', 'Paine', '260-383-7913', 'Aurea', false, 'Digitube', '6/8/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Benji', 'Trelevan', '683-870-0972', 'Kath', true, 'Myworks', '9/17/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Ram', 'Klulicek', '283-398-1364', 'Elston', true, 'Dabfeed', '7/28/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Sergio', 'Lerohan', '539-837-1690', 'Roosevelt', true, 'Photolist', '8/21/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Kirk', 'Inde', '564-812-4516', 'Jeana', true, 'Zoonder', '1/17/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Germain', 'Brobeck', '820-637-6162', 'Al', true, 'Divape', '3/6/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Franni', 'Wherton', '591-895-0091', 'Lanette', false, 'Eimbee', '6/25/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Murdoch', 'Rubert', '658-267-2019', 'Ross', false, 'Flashspan', '12/17/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Clevie', 'Rispen', '905-626-4768', 'Roberto', false, 'Wordify', '1/30/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Neville', 'Weafer', '991-504-9407', 'Drucie', false, 'Mycat', '5/16/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Torrie', 'Harnett', '473-280-6077', 'Menard', true, 'Roombo', '5/31/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Neddy', 'Jaycocks', '326-373-0485', 'Ferdinand', true, 'Pixoboo', '1/10/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Stanislaus', 'Griswaite', '187-506-3226', 'Harvey', false, 'Devpoint', '2/21/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Mella', 'Housaman', '815-984-2948', 'Berta', true, 'Avaveo', '3/13/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Tad', 'Birtles', '306-324-0031', 'Lu', false, 'Thoughtbridge', '9/23/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Clemmy', 'Payn', '775-870-8802', 'Callida', true, 'Chatterpoint', '11/16/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Brittne', 'Eastham', '946-296-5967', 'Arielle', false, 'Dynazzy', '3/3/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Andie', 'Van Castele', '103-616-3191', 'Alvy', false, 'Muxo', '3/20/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Gypsy', 'Beckenham', '787-579-8770', 'Alyse', false, 'Tagcat', '8/17/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Erich', 'Betser', '736-713-2963', 'Darwin', false, 'Twiyo', '11/17/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Harriett', 'Sloane', '853-748-3023', 'Kriste', false, 'Yakitri', '8/7/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Rhodia', 'Tuckley', '371-152-0985', 'Chryste', true, 'Skyndu', '1/9/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Jeralee', 'Wolsey', '838-220-6521', 'Joaquin', true, 'Wordware', '3/30/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Bev', 'Storry', '865-779-0933', 'Merna', true, 'Fivechat', '9/13/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Merralee', 'Batteson', '113-679-8590', 'Danella', true, 'Vinder', '11/23/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Meredith', 'Pepperell', '850-455-8432', 'Gal', true, 'Mycat', '3/31/2017');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Estell', 'Gillyatt', '396-210-3172', 'Catina', false, 'Brainverse', '2/3/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Berky', 'Trotton', '111-172-5207', 'Stevy', false, 'Wordtune', '1/19/2018');
insert into User (Name, Surname, phoneNumber, Patronymic, Employed, OrganisationName, StartOnUTc) values ('Zebulen', 'Coogan', '673-784-4897', 'Neall', true, 'Bubbletube', '9/29/2017');
